id,name,teacher,day,slots,credit,isBase,isLang,CourseNumber,program,isSmr
1141011,民法總則,向明恩、周伯峰,6,D|5|6,3,True,False,961012001,法碩專班,False
1141012,憲法,吳秦雯、劉定基、謝碩駿,6,2|3|4,3,True,False,961013001,法碩專班,False
1141013,民法債編各論,王千維、呂彥彬,5,F|G|H,3,True,False,961015001,法碩專班,False
1141014,公司法,周振鋒,6,D|5|6,3,True,False,961042001,法碩專班,False
1141015,身分法,戴瑀如,1,F|G|H,3,False,False,961054001,法碩專班,False
1141016,國際法專題研究,陳貞如,3,F|G|H,3,False,False,961056001,法碩專班,False
1141017,家事事件法專題研究,姜世明,6,7|8|E,3,False,False,961086001,法碩專班,False
1141018,保險判決案例分析（一）,葉啓洲,1,F|G|H,3,False,False,961116001,法碩專班,False
1141019,電子商務與網路法,王立達,3,F|G|H,3,False,False,961175001,法碩專班,False
1141020,智慧財產權法專題研究（二）,沈宗倫、陳龍昇,4,F|G|H,3,False,False,961195001,法碩專班,False
1141021,人性尊嚴的歷史與法律解釋,江玉林,6,2|3|4,3,False,False,961220001,法碩專班,False
1141022,家庭中的刑法問題,黃士軒,1,F|G|H,3,False,False,961221001,法碩專班,False
1141023,社會保險法專題研究,張桐銳,2,F|G,2,False,False,961223001,法碩專班,False
1141024,科技金融商品刑法管制專題研究,李聖傑、洪敏超、萬幼筠,6,D|5|6,3,False,False,961226001,法碩專班,False
1141025,中國大陸投資法律制度與實務（三）,王文杰、朱潤逢,4,F|G|H,3,False,False,961227001,法碩專班,False
1141026,工程契約專題研究,顏玉明,3,F|G|H,3,False,False,961229001,法碩專班,False
1141101,德文法學名著選讀（六）,林佳和,4,D|5|6,3,False,True,651032001,法律系碩士班,False
1141102,日文法學名著選讀（四）,黃琴唐,2,5|6|7,3,False,True,651044001,法律系碩士班,False
1141103,比較刑法專題研究（三）,黃士軒,5,3|4,2,False,False,651097001,法律系碩士班,False
1141104,民事訴訟法專題研究（一）,姜世明,1,5|6,2,False,False,651099001,法律系碩士班,False
